00000000,"0.0, 0.0, 0.0, 0.0"
00000001,"0.0, 0.0, 0.0, 0.0"
00000010,"0.0, 0.0, 0.0, 0.0"
00000011,"0.0, 0.0, 0.0, 0.0"
00000100,"0.0, 0.0, 0.0, 0.0"
00000101,"0.0, 0.0, 0.0, 0.0"
00000110,"0.0, 0.0, 0.0, 0.0"
00000111,"0.0, 0.0, 0.0, 0.0"
00001000,"0.0, 0.0, 0.0, 0.0"
00001001,"0.0, 0.0, 0.0, 0.0"
00001010,"0.0, 0.0, 0.0, 0.0"
00001011,"0.0, 0.0, 0.0, 0.0"
00001100,"0.0, 0.0, 0.0, 0.0"
00001101,"0.0, 0.0, 0.0, 0.0"
00001110,"0.0, 0.0, 0.0, 0.0"
00001111,"0.0, 0.0, 0.0, 0.0"
00010000,"0.0, 0.0, 0.0, 0.0"
00010001,"188.30391574030077, -50.0, 11.495452696783294, 18.226159786561798"
00010010,"194.19560088954586, 66.98685337071234, 12.179954455056361, -50.0"
00010011,"174.44155382798397, -50.0, 16.988449769095887, -50.0"
00010100,"255.1334677407683, 42.905217982100766, -50.0, -8.466132512631829"
00010101,"186.79043471786082, -42.21501572499391, -50.0, 18.822531801536837"
00010110,"174.27026462632426, 33.0794941588119, -47.332884133609795, -50.0"
00010111,"144.2673205649375, -50.0, -96.875, -87.5"
00011000,"-50.0, 31.945826705698565, 6.20779885691954, 5.73726953389723"
00011001,"-50.0, -50.0, 9.911101423263766, 11.494667483858603"
00011010,"-50.0, 5.792768963802919, 30.27415379423121, -50.0"
00011011,"-50.0, -50.0, 14.94760904906341, -38.95678203311729"
00011100,"-50.0, -44.54814457688225, -75.0, 8.316162223792212"
00011101,"-50.0, -50.0, -50.0, 43.20975471879106"
00011110,"-87.5, 9.892309275788485, -87.5, -50.0"
00011111,"-96.875, -97.1875, -96.875, -96.875"
00020000,"0.0, 0.0, 0.0, 0.0"
00020001,"39.14876952463857, -50.0, 201.72659948028075, 46.664277000535165"
00020010,"26.567327718039312, 50.71389218409426, 165.74694800338187, -50.0"
00020011,"19.455253939590175, -50.0, 85.84715347487192, -50.0"
00020100,"28.75671971771126, 1.6380514782058235, -50.0, 33.81133662090555"
00020101,"54.68215569561828, -50.0, -50.0, 9.077481404559567"
00020110,"32.62687654496278, 22.205522860607616, -50.0, -50.0"
00020111,"29.666502281936374, -50.0, -50.0, -50.0"
00021000,"-50.0, 43.26958670343663, 250.74089182538296, 22.28607555013694"
00021001,"-50.0, -31.17309585480639, 303.39017492472476, 14.562981460482431"
00021010,"-50.0, 30.524539063642152, 159.77562641799994, -50.0"
00021011,"-50.0, -50.0, 152.12524213037452, -50.0"
00021100,"-93.75, -21.282150924602284, -50.0, 42.51263015442579"
00021101,"-50.0, -50.0, -50.0, 7.452710408144056"
00021110,"-75.0, 10.147293408129267, -50.0, -50.0"
00021111,"-93.75, -96.25, -93.75, -96.25"
00100000,"0.0, 0.0, 0.0, 0.0"
00100001,"-23.916468219862974, -50.0, -28.53571755548719, 86.8249999971458"
00100010,"13.913867205537484, 12.56397875707846, 47.51470617112533, -50.0"
00100011,"-8.605021515492837, -93.75, 40.86064453846381, -75.0"
00100100,"17.943673682910973, 24.72374678193173, -50.0, 227.0191535655507"
00100101,"4.383673285938914, -50.0, -50.0, 204.49614935488592"
00100110,"26.58117185778724, 45.42340045755354, -50.0, -50.0"
00100111,"39.740633676021176, -50.0, -75.0, -23.407503808044957"
00101000,"-50.0, 21.78097114456745, 29.892392361354176, 171.49780069071423"
00101001,"-50.0, -50.0, 24.505930814549302, 224.45589617193946"
00101010,"-50.0, 27.98559013685225, -10.639225626138966, -50.0"
00101011,"-50.0, -50.0, 26.342852528742444, -50.0"
00101100,"-35.18056458430846, 0.0, -50.0, 206.8451132958237"
00101101,"-50.0, -50.0, -29.09969675904528, 34.63527439065848"
00101110,"-55.00000000000001, -24.57315742307189, -50.0, -50.0"
00101111,"-96.875, -96.875, -93.75, -96.875"
00110000,"0.0, 0.0, 0.0, 0.0"
00110001,"123.87885958040921, -50.0, -23.899621174062958, 59.73469038606815"
00110010,"-5.96004224416977, 39.693601831244365, -8.775196916492266, -75.0"
00110011,"44.085850759142815, -96.875, -15.840977864900317, -87.5"
00110100,"57.50868100732923, -22.33875996292366, -50.0, 113.6145640991808"
00110101,"77.56041436450685, -50.0, -50.0, 55.66874815855"
